BIN,HOUSE_NUMBER,STREET_NAME,ZIP,COMM_DISTRICT,BOROUGH,HPD_VIOLATIONS,DOB_VIOLATIONS,TOTAL_VIOLATIONS,DWELLING_UNITS,VIO_UNITS_RATIO,LATITUDE_POINT_Y,LONGITUDE_POINT_X
3081018,130,BRISTOL STREET,11212,316,Brooklyn,23,0,23,4,5.75,40.668098449707,-73.9125595092773
3081194,124,TAPSCOTT STREET,11212,316,Brooklyn,32,0,32,6,5.333333,40.6647911071777,-73.9205169677734
3081233,701,HOWARD AVENUE,11212,316,Brooklyn,6,3,9,3,3.0,40.6649208068848,-73.9189529418945
3081286,141,LEGION STREET,11212,316,Brooklyn,123,0,123,3,41.0,40.6653900146484,-73.9171371459961
3081473,202,TAPSCOTT STREET,11212,316,Brooklyn,14,0,14,4,3.5,40.6629905700684,-73.9200668334961
3081741,189,DUMONT AVENUE,11212,316,Brooklyn,53,0,53,6,8.833333,40.663818359375,-73.912727355957
3081954,14,LIVONIA AVENUE,11212,316,Brooklyn,13,0,13,3,4.333333,40.6611289978027,-73.917610168457
3082018,307,LEGION STREET,11212,316,Brooklyn,35,0,35,4,8.75,40.6611518859863,-73.9160690307617
3082069,77,RIVERDALE AVENUE,11212,316,Brooklyn,12,0,12,4,3.0,40.6604385375977,-73.913948059082
3082140,765,HOPKINSON AVENUE,11212,316,Brooklyn,30,0,30,4,7.5,40.6617889404297,-73.9113235473633
3082185,385,LEGION STREET,11212,316,Brooklyn,37,0,37,4,9.25,40.6591911315918,-73.9155731201172
3082191,367,LEGION STREET,11212,316,Brooklyn,22,0,22,4,5.5,40.6595993041992,-73.9156723022461
3082193,361,LEGION STREET,11212,316,Brooklyn,29,0,29,4,7.25,40.659740447998,-73.9157104492188
3082211,41,NEWPORT STREET,11212,316,Brooklyn,60,0,60,4,15.0,40.6588401794434,-73.9140472412109
3082249,2253,STRAUSS STREET,11212,316,Brooklyn,20,0,20,3,6.666666,40.6588096618652,-73.9134902954102
3082254,438,HERZL STREET,11212,316,Brooklyn,36,0,36,4,9.0,40.6590690612793,-73.9131927490234
3082266,431,HERZL STREET,11212,316,Brooklyn,18,0,18,4,4.5,40.6592903137207,-73.9126586914063
3082281,110,RIVERDALE AVENUE,11212,316,Brooklyn,25,0,25,4,6.25,40.6601600646973,-73.9126510620117
3082335,865,HOPKINSON AVENUE,11212,316,Brooklyn,30,0,30,6,5.0,40.6593208312988,-73.9107971191406
3082369,451,BRISTOL STREET,11212,316,Brooklyn,50,0,50,4,12.5,40.6600494384766,-73.909912109375
3082397,912,SARATOGA AVENUE,11212,316,Brooklyn,92,0,92,35,2.628571,40.6582298278809,-73.9149780273438
3082414,905,SARATOGA AVENUE,11212,316,Brooklyn,18,0,18,4,4.5,40.6583404541016,-73.9143218994141
3082420,2268,STRAUSS STREET,11212,316,Brooklyn,20,0,20,4,5.0,40.6581993103027,-73.9139175415039
3082454,2265,STRAUSS STREET,11212,316,Brooklyn,20,0,20,4,5.0,40.6583595275879,-73.9133834838867
3082456,2259,STRAUSS STREET,11212,316,Brooklyn,33,0,33,4,8.25,40.6585006713867,-73.9134063720703
3082474,45,LOTT AVENUE,11212,316,Brooklyn,64,2,66,16,4.125,40.6575202941895,-73.9121627807617
3082478,485,HERZL STREET,11212,316,Brooklyn,42,0,42,4,10.5,40.6578598022461,-73.9122924804688
3082510,73,LOTT AVENUE,11212,316,Brooklyn,95,1,96,12,8.0,40.6576614379883,-73.911247253418
