Bin,House Number,Street Name,Zip,Community Board,Borough Name,Block,Lot,LONGITUDE_POINT_X,LATITUDE_POINT_Y
3348081,4811,   5 AVENUE,11220,307,Brooklyn,775,4,-74.00930786,40.64572906
3348366,40,CHRISTOPHER AVENUE,11212,316,Brooklyn,3692,20,-73.90688324,40.67266846
3350169,325,SHEPHERD AVENUE,11208,305,Brooklyn,3973,7,-73.88126373,40.67715073
3378134,739,DE KALB AVENUE,11216,303,Brooklyn,1775,55,-73.94674683,40.69213867
3378488,1975,PACIFIC STREET,11233,308,Brooklyn,1339,172,-73.92307281,40.6764183
3388173,1843,PITKIN AVENUE,11212,316,Brooklyn,3709,136,-73.90487671,40.6708107
3388416,870,KNICKERBOCKER AVENUE,11207,304,Brooklyn,3430,33,-73.90535736,40.69124985
3388926,586,LIBERTY AVENUE,11207,305,Brooklyn,3981,10,-73.88806152,40.6754303
3389001,554,  60 STREET,11220,307,Brooklyn,5783,30,-74.0149765,40.63845825
3389513,2767,ATLANTIC AVENUE,11207,305,Brooklyn,3946,45,-73.89206696,40.67654037
3389633,2802,ALBEMARLE ROAD,11226,317,Brooklyn,5130,206,-73.95102692,40.64788055
3389656,108,EAST   28 STREET,11226,317,Brooklyn,5138,112,-73.95121765,40.6465683
3389884,139,ALBANY AVENUE,11213,308,Brooklyn,1346,6,-73.93850708,40.67593002
3390168,175,MONROE STREET,11216,303,Brooklyn,1812,168,-73.95187378,40.68555069
3390390,73,COOPER STREET,11207,304,Brooklyn,3433,58,-73.909729,40.68571091
3391227,223,MALCOLM X BOULEVARD,11221,303,Brooklyn,1657,107,-73.92923737,40.68537903
3391329,227A,MALCOLM X BOULEVARD,11221,303,Brooklyn,1657,3,-73.92919922,40.68516922
3391838,99,STOCKTON STREET,11206,303,Brooklyn,1743,76,-73.94883728,40.69641113
3391847,87,STOCKTON STREET,11206,303,Brooklyn,1743,82,-73.94924164,40.69631958
3392173,18,GOODWIN PLACE,11221,304,Brooklyn,3293,18,-73.92450714,40.69166946
3392174,22,GOODWIN PLACE,11221,304,Brooklyn,3293,19,-73.92443848,40.69163132
3392426,891,GREENE AVENUE,11221,303,Brooklyn,1616,75,-73.93202972,40.69083023
3392677,128,OSBORN STREET,11212,316,Brooklyn,3523,111,-73.90899658,40.66928101
3392773,427,HERKIMER STREET,11213,303,Brooklyn,1864,46,-73.93921661,40.67929077
3393226,1355,DECATUR STREET,11237,304,Brooklyn,3431,28,-73.90447998,40.6922493
3396016,1357,DECATUR STREET,11237,304,Brooklyn,3431,128,-73.90444183,40.69229889
3396629,301,POWELL STREET,11212,316,Brooklyn,3763,10,-73.90302277,40.66724014
3396907,146,JEFFERSON STREET,11206,304,Brooklyn,3172,26,-73.92993164,40.70021057
3399216,173,BUFFALO AVENUE,11213,308,Brooklyn,1363,8,-73.92474365,40.67340088
3399384,128,SUMPTER STREET,11233,303,Brooklyn,1524,28,-73.9197464,40.67988968
3413707,1346,MYRTLE AVENUE,11221,304,Brooklyn,3266,33,-73.92205048,40.69826889
3418399,1660,BROADWAY,11207,316,Brooklyn,1503,23,-73.91339111,40.68424988
4002606,45-36,40 STREET,11104,402,Queens,194,49,-73.9247818,40.74264908
4003853,34-19,9 STREET,11106,401,Queens,324,19,-73.93953705,40.76454926
4004009,35-31,CRESCENT STREET,11106,401,Queens,339,10,-73.93237305,40.75883865
4004934,40-29,23 STREET,11101,401,Queens,408,13,-73.93988037,40.75345993
4008480,30-33,31 STREET,11102,401,Queens,615,24,-73.92182922,40.76588058
4009026,30-27,33 STREET,11102,401,Queens,625,36,-73.92009735,40.76533127
4016611,35-19,DITMARS BOULEVARD,11105,401,Queens,824,66,-73.90808868,40.77462006
4017441,29-06,24 AVENUE,11102,401,Queens,840,46,-73.91629791,40.77257919
4018301,21-11,27 STREET,11105,401,Queens,857,29,-73.91101837,40.77917099
4018755,25-18,23 AVENUE,11105,401,Queens,864,140,-73.91629791,40.77645111
4027160,34-26,  62 STREET,11377,402,Queens,1189,81,-73.90007782,40.75133133
4028428,53-31,SKILLMAN AVENUE,11377,402,Queens,1238,45,-73.91002655,40.74583054
4028465,40-08,57 STREET,11377,402,Queens,1240,105,-73.90753937,40.74568939
4029843,37-45,75 STREET,11372,403,Queens,1286,14,-73.89035034,40.74779892
4031383,58-44,43 AVENUE,11377,402,Queens,1333,68,-73.90554047,40.7427597
4035147,33-17,82 STREET,11372,403,Queens,1430,57,-73.88497925,40.75502014
4036343,37-23,89 STREET,11372,403,Queens,1477,67,-73.87738037,40.74971008
4036436,37-24,93 STREET,11372,403,Queens,1480,17,-73.87425995,40.75014114
4038793,40-26,BENHAM STREET,11373,404,Queens,1551,24,-73.87477875,40.74797058
4040293,40-19,99 STREET,11368,404,Queens,1608,53,-73.86595154,40.74897003
4040456,97-17,43 AVENUE,11368,404,Queens,1615,41,-73.86586761,40.74649811
4041929,32-40,101 STREET,11369,403,Queens,1695,26,-73.86786652,40.75815964
4042425,33-44,98 STREET,11368,403,Queens,1712,28,-73.87045288,40.75579071
4043013,34-13,99 STREET,11368,403,Queens,1733,46,-73.86876678,40.75492859
4043362,34-22,105 STREET,11368,403,Queens,1744,24,-73.86341095,40.75532913
4045197,87-01,51 AVENUE,11373,404,Queens,1835,95,-73.8764801,40.739151
4045628,91-27,48 AVENUE,11373,404,Queens,1848,25,-73.8730011,40.74192047
4048263,57-33,WALDRON STREET,11368,404,Queens,1960,29,-73.85323334,40.73955154
4048896,104-31,43 AVENUE,11368,404,Queens,1986,167,-73.85957336,40.74837112
4052773,75-36, 113 PLACE,11375,406,Queens,2265,201,-73.8343811,40.71863174
4057123,51-20,CODWISE PLACE,11373,404,Queens,2472,16,-73.88303375,40.73698044
4069616,84-53,DANA COURT,11379,405,Queens,2999,28,-73.86878204,40.72322845
4080490,20-18,HIMROD STREET,11385,405,Queens,3380,22,-73.90973663,40.70975876
4081827,17-11,STANHOPE STREET,11385,405,Queens,3428,47,-73.9153595,40.70613098
4081912,1818,HARMAN STREET,11385,405,Queens,3431,23,-73.91217041,40.70623016
4082098,17-21,MENAHAN STREET,11385,405,Queens,3437,53,-73.91149139,40.70410156
4082388,1671,PALMETTO STREET,11385,405,Queens,3448,52,-73.90953827,40.7013588
4082635,715,SENECA AVENUE,11385,405,Queens,3458,4,-73.90704346,40.70269012
4082716,17-17,PUTNAM AVENUE,11385,405,Queens,3460,47,-73.90625763,40.70106888
4082971,1880,PALMETTO STREET,11385,405,Queens,3469,27,-73.90577698,40.70433044
4083413,2051,GATES AVENUE,11385,405,Queens,3485,47,-73.90466309,40.70729828
4083475,Jun-75,GRANDVIEW AVENUE,11385,405,Queens,3488,5,-73.90377045,40.70763016
4084669,63-46,FRESH POND ROAD,11385,405,Queens,3524,58,-73.89987946,40.71060944
4085242,60-86,69 AVENUE,11385,405,Queens,3536,17,-73.89600372,40.70289993
4085254,60-91,70 AVENUE,11385,405,Queens,3536,31,-73.89573669,40.70267105
4085423,16-45,PUTNAM AVENUE,11385,405,Queens,3545,66,-73.90792847,40.69944
4085534,16-66,JEFFERSON AVENUE,11385,405,Queens,3548,46,-73.90589142,40.69895935
4085753,1062,CYPRESS AVENUE,11385,405,Queens,3554,55,-73.90097809,40.69680023
4086051,1075,CYPRESS AVENUE,11385,405,Queens,3567,7,-73.9001236,40.69675064
4086057,1728,SUMMERFIELD STREET,11385,405,Queens,3567,24,-73.89958954,40.69726944
4086621,75-01,60 LANE,11385,405,Queens,3585,52,-73.89454651,40.69850922
4087884,61-20,MADISON STREET,11385,405,Queens,3619,27,-73.8963623,40.70709991
4090360,72-14,69 PLACE,11385,405,Queens,3704,25,-73.88186646,40.70137024
4091487,67-39,  75 STREET,11379,405,Queens,3774,63,-73.87724304,40.71163177
4092974,79-45,  78 AVENUE,11385,405,Queens,3818,54,-73.86997986,40.7052803
4098140,116-10,14 ROAD,11356,407,Queens,4067,27,-73.85095978,40.78450012
4099492,22-41,121 STREET,11356,407,Queens,4197,4,-73.84674835,40.77893066
4104819,145-05,21 AVENUE,11357,407,Queens,4631,1,-73.8225174,40.78065109
4108079,144-56,25 DRIVE,11354,407,Queens,4780,36,-73.82225037,40.77503967
4113051,147-11,35 AVENUE,11354,407,Queens,4996,11,-73.81919861,40.76665115
4146285,59-46,156 STREET,11355,407,Queens,6733,61,-73.81253052,40.73936081
4148879,61-12,167 STREET,11365,408,Queens,6894,42,-73.80211639,40.73791122
4183453,88-42,  85 STREET,11421,409,Queens,8915,38,-73.85822296,40.68939972
4190960,92-18,LIBERTY AVENUE,11417,410,Queens,9161,9,-73.84602356,40.67993927
4193773,86-40,123 STREET,11418,409,Queens,9276,80,-73.82774353,40.70112991
4195099,98-09,ATLANTIC AVENUE,11421,409,Queens,9306,106,-73.8446579,40.68965912
4195541,110-01,ATLANTIC AVENUE,11418,409,Queens,9317,28,-73.83579254,40.69218063
4218561,108-42,171 PLACE,11433,412,Queens,10254,26,-73.7840271,40.69800949
4247485,155-09,  78 STREET,11414,410,Queens,11458,78,-73.85527802,40.66352081
4257342,127-02,135 AVENUE,11420,410,Queens,11861,31,-73.81256866,40.66878891
4257343,127-04,135 AVENUE,11420,410,Queens,11861,32,-73.81247711,40.66876984
4258220,146-42,LAKEWOOD AVENUE,11435,412,Queens,11945,43,-73.80055237,40.69253922
4258999,113-08,SUTPHIN BOULEVARD,11435,412,Queens,11966,11,-73.79450226,40.68663025
4259579,114-54,SUTPHIN BOULEVARD,11434,412,Queens,11980,29,-73.7931366,40.68484116
4263340,157-03,BRINKERHOFF AVENUE,11433,412,Queens,12148,45,-73.79311371,40.69187927
4264793,116-65,SUTPHIN BOULEVARD,11434,412,Queens,12203,178,-73.79189301,40.68085861
4265299,121-19,SUTPHIN BOULEVARD,11434,412,Queens,12216,1,-73.79039764,40.67681122
4268570,172-02,LINDEN BOULEVARD,11434,412,Queens,12394,90,-73.77793884,40.69168091
4271764,198-12,LINDEN BOULEVARD,11412,412,Queens,12619,6,-73.75367737,40.69380951
4297822,13-96,BEACH CHANNEL DRIVE,11691,414,Queens,15526,15,-73.75388336,40.60792923
4299005,3-Dec,FRISCO AVENUE,11691,414,Queens,15614,10,-73.74624634,40.60029984
4299664,13-44,DICKENS STREET,11691,414,Queens,15665,33,-73.76019287,40.60760117
4300277,26-Oct,GIPSON STREET,11691,414,Queens,15714,27,-73.75907135,40.60314941
4300323,28-Nov,DICKENS STREET,11691,414,Queens,15716,24,-73.76067352,40.60602951
4300938,23-85,DICKENS STREET,11691,414,Queens,15756,5,-73.76016998,40.60189056
4301495,318,BEACH   32 STREET,11691,414,Queens,15796,41,-73.76447296,40.59627151
4301600,224,BEACH 30 STREET,11691,414,Queens,15805,38,-73.76264954,40.59550095
4301945,175,BEACH 60 STREET,11692,414,Queens,15903,32,-73.78983307,40.59128952
4301997,320,BEACH 67 STREET,11692,414,Queens,15913,49,-73.7957077,40.59170151
4302000,344,BEACH 67 STREET,11692,414,Queens,15913,61,-73.79577637,40.59236908
4302022,67-03,BEACH CHANNEL DRIVE,11692,414,Queens,15915,54,-73.7963562,40.59259033
4307891,63-35, 110 STREET,11375,406,Queens,2182,105,-73.84763336,40.73474884
